analysis_scope,condition_id,condition_label,cutoff_k,question_count,mean_retrieved_count,mean_hit_chunk_count,chunk_precision,chunk_success,gold_block_recall,chunk_ndcg,empty_rate,median_latency_ms
family:facts_specifications,chunker-generic-sliding-window,Sliding-window chunker,40,50,24.78,1.34,0.0335,0.7,0.7,0.29330246726329956,0.0,5802.5064999999995
family:facts_specifications,chunker-generic-sliding-window,Sliding-window chunker,45,50,24.78,1.34,0.029777777777777778,0.7,0.7,0.29330246726329956,0.0,5802.5064999999995
family:facts_specifications,chunker-generic-sliding-window,Sliding-window chunker,50,50,24.78,1.34,0.0268,0.7,0.7,0.29330246726329956,0.0,5802.5064999999995
family:facts_specifications,chunker-generic-sliding-window,Sliding-window chunker,55,50,24.78,1.34,0.02436363636363636,0.7,0.7,0.29330246726329956,0.0,5802.5064999999995
family:facts_specifications,chunker-generic-sliding-window,Sliding-window chunker,60,50,24.78,1.34,0.022333333333333334,0.7,0.7,0.29330246726329956,0.0,5802.5064999999995
family:setup_configuration,chunker-generic-sliding-window,Sliding-window chunker,5,50,26.6,0.5,0.1,0.4,0.4,0.24146961008924947,0.0,6089.5825
family:setup_configuration,chunker-generic-sliding-window,Sliding-window chunker,10,50,26.6,0.78,0.07800000000000001,0.58,0.58,0.30179704628520587,0.0,6089.5825
family:setup_configuration,chunker-generic-sliding-window,Sliding-window chunker,15,50,26.6,0.86,0.05733333333333333,0.64,0.64,0.3204416411620557,0.0,6089.5825
family:setup_configuration,chunker-generic-sliding-window,Sliding-window chunker,20,50,26.6,0.96,0.04800000000000001,0.66,0.66,0.33410798767683525,0.0,6089.5825
family:setup_configuration,chunker-generic-sliding-window,Sliding-window chunker,25,50,26.6,1.08,0.0432,0.68,0.68,0.34830488640484897,0.0,6089.5825
family:setup_configuration,chunker-generic-sliding-window,Sliding-window chunker,30,50,26.6,1.12,0.037333333333333336,0.68,0.68,0.3534347764521376,0.0,6089.5825
family:setup_configuration,chunker-generic-sliding-window,Sliding-window chunker,35,50,26.6,1.14,0.03257142857142857,0.68,0.68,0.3558657807640824,0.0,6089.5825
family:setup_configuration,chunker-generic-sliding-window,Sliding-window chunker,40,50,26.6,1.14,0.0285,0.68,0.68,0.3558657807640824,0.0,6089.5825
family:setup_configuration,chunker-generic-sliding-window,Sliding-window chunker,45,50,26.6,1.14,0.025333333333333333,0.68,0.68,0.3558657807640824,0.0,6089.5825
family:setup_configuration,chunker-generic-sliding-window,Sliding-window chunker,50,50,26.6,1.14,0.0228,0.68,0.68,0.3558657807640824,0.0,6089.5825
family:setup_configuration,chunker-generic-sliding-window,Sliding-window chunker,55,50,26.6,1.14,0.020727272727272726,0.68,0.68,0.3558657807640824,0.0,6089.5825
family:setup_configuration,chunker-generic-sliding-window,Sliding-window chunker,60,50,26.6,1.14,0.019,0.68,0.68,0.3558657807640824,0.0,6089.5825
family:troubleshooting_diagnostics,chunker-generic-sliding-window,Sliding-window chunker,5,50,22.62,0.3,0.06,0.3,0.3,0.1634875488261419,0.0,5943.312
family:troubleshooting_diagnostics,chunker-generic-sliding-window,Sliding-window chunker,10,50,22.62,0.56,0.05600000000000001,0.44,0.44,0.22015490074449207,0.0,5943.312
family:troubleshooting_diagnostics,chunker-generic-sliding-window,Sliding-window chunker,15,50,22.62,0.72,0.048,0.5,0.5,0.2477003390582409,0.0,5943.312
family:troubleshooting_diagnostics,chunker-generic-sliding-window,Sliding-window chunker,20,50,22.62,0.86,0.043,0.58,0.58,0.27196791442580714,0.0,5943.312
family:troubleshooting_diagnostics,chunker-generic-sliding-window,Sliding-window chunker,25,50,22.62,0.94,0.0376,0.64,0.64,0.28595728611711535,0.0,5943.312
family:troubleshooting_diagnostics,chunker-generic-sliding-window,Sliding-window chunker,30,50,22.62,1.0,0.03333333333333333,0.66,0.66,0.29210250988228065,0.0,5943.312
family:troubleshooting_diagnostics,chunker-generic-sliding-window,Sliding-window chunker,35,50,22.62,1.04,0.029714285714285714,0.66,0.66,0.2969439384544044,0.0,5943.312
family:troubleshooting_diagnostics,chunker-generic-sliding-window,Sliding-window chunker,40,50,22.62,1.04,0.026000000000000002,0.66,0.66,0.2969439384544044,0.0,5943.312
family:troubleshooting_diagnostics,chunker-generic-sliding-window,Sliding-window chunker,45,50,22.62,1.04,0.023111111111111114,0.66,0.66,0.2969439384544044,0.0,5943.312
family:troubleshooting_diagnostics,chunker-generic-sliding-window,Sliding-window chunker,50,50,22.62,1.04,0.0208,0.66,0.66,0.2969439384544044,0.0,5943.312
family:troubleshooting_diagnostics,chunker-generic-sliding-window,Sliding-window chunker,55,50,22.62,1.04,0.01890909090909091,0.66,0.66,0.2969439384544044,0.0,5943.312
family:troubleshooting_diagnostics,chunker-generic-sliding-window,Sliding-window chunker,60,50,22.62,1.04,0.017333333333333333,0.66,0.66,0.2969439384544044,0.0,5943.312
family:features_security_maintenance_limitations,chunker-generic-sliding-window,Sliding-window chunker,5,50,28.62,0.5,0.1,0.4,0.4,0.19904249292643744,0.0,5661.431500000001
family:features_security_maintenance_limitations,chunker-generic-sliding-window,Sliding-window chunker,10,50,28.62,0.94,0.094,0.58,0.58,0.27428544384640446,0.0,5661.431500000001
family:features_security_maintenance_limitations,chunker-generic-sliding-window,Sliding-window chunker,15,50,28.62,1.26,0.084,0.68,0.68,0.3234455984653859,0.0,5661.431500000001
family:features_security_maintenance_limitations,chunker-generic-sliding-window,Sliding-window chunker,20,50,28.62,1.38,0.069,0.7,0.7,0.33813708482089183,0.0,5661.431500000001
family:features_security_maintenance_limitations,chunker-generic-sliding-window,Sliding-window chunker,25,50,28.62,1.48,0.0592,0.7,0.7,0.34780585867343555,0.0,5661.431500000001
