condition_id,condition_label,scope,from_k,to_k,question_count,delta_recall,recall_ci95_low,recall_ci95_high,recall_significant,delta_precision,precision_ci95_low,precision_ci95_high,precision_significant,delta_ndcg,ndcg_ci95_low,ndcg_ci95_high,ndcg_significant,recall_practical_small,recall_local_plateau,ndcg_practical_small
chunker-generic-sliding-window,Sliding-window chunker,id,5,10,100,0.2,0.13,0.28,1,-0.006999999999999998,-0.023000000000000003,0.009000000000000001,0,0.0654328820023243,0.04405101477010657,0.08852685292246497,1,0,0,0
chunker-generic-sliding-window,Sliding-window chunker,id,10,15,100,0.04,0.01,0.08,1,-0.011000000000000005,-0.018333333333333333,-0.0033333333333333357,1,0.02567253352539089,0.012691624163811728,0.04049068259277021,1,0,0,0
chunker-generic-sliding-window,Sliding-window chunker,id,15,20,100,0.04,0.01,0.08,1,-0.008999999999999998,-0.01333333333333333,-0.004499999999999998,1,0.015782678051245596,0.006279052327430352,0.027238767344280934,1,0,0,0
chunker-generic-sliding-window,Sliding-window chunker,id,20,25,100,0.03,0.0,0.07,0,-0.0042000000000000015,-0.007500000000000002,-0.0007000000000000012,1,0.01660220958562351,0.0073728913449252875,0.027140308344723446,1,0,0,0
chunker-generic-sliding-window,Sliding-window chunker,id,25,30,100,0.01,0.0,0.03,0,-0.006133333333333334,-0.007933333333333334,-0.004333333333333333,1,0.004013382094647925,0.0,0.009453339287526034,0,1,1,1
chunker-generic-sliding-window,Sliding-window chunker,id,30,35,100,0.0,0.0,0.0,0,-0.004380952380952381,-0.005619047619047619,-0.0030952380952380953,1,0.0028015315292063735,0.0,0.006448037997123508,0,1,1,1
chunker-generic-sliding-window,Sliding-window chunker,id,35,40,100,0.0,0.0,0.0,0,-0.0037857142857142837,-0.00464285714285714,-0.002928571428571427,1,0.0006416923277158365,0.0,0.0019250769831475095,0,1,1,1
chunker-generic-sliding-window,Sliding-window chunker,id,40,45,100,0.0,0.0,0.0,0,-0.003166666666666667,-0.003833333333333334,-0.002527777777777778,1,0.0,0.0,0.0,0,1,1,1
chunker-generic-sliding-window,Sliding-window chunker,id,45,50,100,0.0,0.0,0.0,0,-0.002533333333333333,-0.003088888888888889,-0.0020222222222222226,1,0.0,0.0,0.0,0,1,1,1
chunker-generic-sliding-window,Sliding-window chunker,id,50,55,100,0.0,0.0,0.0,0,-0.0020727272727272743,-0.002509090909090911,-0.0016545454545454558,1,0.0,0.0,0.0,0,1,1,1
chunker-generic-sliding-window,Sliding-window chunker,id,55,60,100,0.0,0.0,0.0,0,-0.001727272727272727,-0.0021060606060606057,-0.0013787878787878782,1,0.0,0.0,0.0,0,1,1,1
indexer-generic-sparse,Sparse indexer,combined,5,10,200,0.11,0.07,0.155,1,-0.004000000000000001,-0.013500000000000002,0.0055000000000000005,0,0.03057771721966447,0.019946604478997428,0.04180433695520976,1,0,0,0
indexer-generic-sparse,Sparse indexer,combined,10,15,200,0.04,0.015,0.07,1,-0.006000000000000002,-0.010500000000000002,-0.0013333333333333352,1,0.015167339626632217,0.0079086145853283,0.02329738401816398,1,0,0,0
indexer-generic-sparse,Sparse indexer,combined,15,20,200,0.04,0.015,0.07,1,-0.0034999999999999988,-0.006249999999999999,-0.0007479166666666952,1,0.011424409776564965,0.006369310564289034,0.0173169231109657,1,0,0,0
indexer-generic-sparse,Sparse indexer,combined,20,25,200,0.04,0.015,0.07,1,-0.00030000000000000084,-0.002400000000000001,0.001899999999999999,0,0.015564520742091898,0.009948401610207162,0.02172014832207536,1,0,0,0
